Question,A,B,C,D,Answer
55. Phản ứng nào sau đây chứng tỏ phenol có tính acid yếu?,C6H5-ONa + CO2 + H2O,C6H5-OH + NaOH,C6H5-ONa+ Br2,C6H5OH + Na.,B
"56. Cho 4,6 gam một alcol no, đơn chức, mạch hở tác dụng hết với Na, thu được 1,12 lít khí (đktc). Tìm CTPT alcol ? (Na = 23; C = 12; H = 1; O = 16).",C3H5(OH)3,C2H5OH,C3H7OH,C2H4(OH)2,B
"57. Cho 18,8 gam phenol tác dụng với 45 gam dung dịch HNO3 63% (H2SO4 đặc làm xúc tác; hiệu suất phản ứng là 100%). Hỏi khối lượng của acid picric (2,4,6- trinitrophenol) thu được bao nhiêu ?",50 gam,"34,35gam",35 gam,"45,85 gam.",B
"58. Sản phẩm chính của phản ứng: CH3–CH=CH2 + HOH (to,xt) →",CH2=CH2–CH2–OH,CH2=CH–CH=CH2,CH3–CH(OH)–CH3,CH3– CH2–CH2 – OH,C
"59. Đốt cháy hoàn toàn 5,24 gam hỗn hợp 2 alkyn đồng đẳng kế tiếp nhau thu được 17,16 gam khí CO2. Tìm CTPT hai alkyn ? (C =12; H =1)",C2H2 và C3H4,C3H4 và C4H8.,C4H6 và C5H8,C3H4 và C4H6,D
60. Đọc tên hợp chất hữu cơ sau:,bicyclo[5.4]nonan.,spiro[5.3]octan.,spiro[2.5]octan.,spiro[5.2]octan .,C
"61. Fomalin hay fomon được dùng để ngâm xác động vật, thuộc da, tẩy uế, diệt trùng,... Fomalin là:",Dung dịch rất loãng của aldehyd fomic.,dd aldehyd acetic khoảng 40%,Dung dịch 37 – 40% fomandehyd trong nước,Tên gọi của H – CH = O,C
62. Dãy gồm các chất đều làm giấy quỳ tím ẩm chuyển sang màu xanh là:,"anilin, methyl amin, amoniac.","amoni clorid, methyl amin, natri hiđroxid.","methyl amin, amoniac, natri axetat.","Alcol methylic, amoniac, natri axetat.",C
"67. Cho dãy các chất: glucose, xenlulose, saccarose, tinh bột, mantose. Số chất trong dãy tham gia phản ứng tráng gương là:",3.,4.,2.,5.,C
68. Trong điều kiện thích hợp glucose lên men tạo thành khí CO2 và:,C2H5OH.,CH3COOH.,HCOOH.,CH3CHO.,A
69. Số nhóm amino và số nhóm carboxyl trong một phân tử acid glutamic tương ứng:,1 và 1.,2 và 2.,2 và 1.,1 và 2.,D
"70. Cho 14,55 gam muối H2NCH2COONa tác dụng hoàn toàn với dung dịch HCl dư thu được dung dịch X. Cô cạn toàn bộ dung dịch X thu được bao nhiêu gam muối khan?","16,73 gam","25,50 gam","8,78 gam","20,03 gam",A
71. Khi xà phòng hóa tripanmitin ta thu được sản phẩm là,C15H31COONa và ethanol.,C17H35COOH và glycerol.,C15H31COONa và glycerol.,C17H35COONa và glycerol.,C
72. Khi xà phòng hóa tristearin ta thu được sản phẩm là:,C17H35COOH và glycerol,C17H35COONa và glycerol,C15H31COONa và glycerol,C15H31COONa và ethanol,B
73. Khi xà phòng hóa triolein ta thu được sản phẩm là,C15H31COONa và ethanol.,C17H35COOH và glycerol.,C15H31COONa và glycerol.,C17H33COONa và glycerol.,D
74. Khi thuỷ phân tristearin trong môi trường acid ta thu được sản phẩm là,C15H31COONa và etanol.,C17H35COOH và glycerol.,C15H31COOH và glycerol.,C17H35COONa và glycerol.,B
75. Acid sulfanilic được tổng hợp từ:,anilin và acid nitrơ.,anilin và brom.,anilin và acid sulfuric.,anilin và acid acetic.,C
"76. Sơ đồ chuyển hóa: + + KMnO4 ,H2O + H Acetylen⎯⎯⎯⎯⎯→X⎯⎯⎯→Y . Tên gọi của Y :",Acid oxalic.,Benzoic.,Kali oxalat.,Etylen glycol.,A
77. Công thức cấu tạo dạng mạch hở của fructose là,.,.,.,.,Cần kiểm tra (mất hình/công thức)
78. Các chất trong nhóm chất nào dưới đây đều là dẫn xuất của hiđrocacbon ?,"CH2Cl2, CH2Br-CH2Br, NaCl, CH3Br, CH3CH2Br.","CH2Cl2, CH2Br-CH2Br, CH3Br, CH2=CHCOOH, CH3CH2OH.","CH2Br-CH2Br, CH2=CHBr, CH3Br, CH3CH3.","HgCl2, CH2Br-CH2Br, CH2=CHBr, CH3CH2Br.",B
"79. Trong những dãy chất sau đây, dãy nào có các chất là đồng phân của nhau ?","C2H5OH, CH3OCH3.","CH3OCH3, CH3CHO.","CH3CH2CH2OH, C2H5OH.","C4H10, C6H6.",A
80. CH2=CHC≡CH (1); CH2=CHCl (2); CH3CH=C(CH3)2 (3); CH3CH=CHCH=CH2 (4) ; CH2=CHCH=CH2 (5); CH3CH=CHBr (6). Chất có đồng phân hình học:,"2, 4, 5, 6.","4, 6.","2, 4, 6.","1, 3, 4.",B
81. Hợp chất (CH3)2C=CHC(CH3)2CH=CHBr có danh pháp IUPAC là:,"1-brom-3,5-trimetylhexa-1,4-đien.","3,3,5-trimetylhexa-1,4-đien-1-brom.","2,4,4-trimetylhexa-2,5-đien-6-brom.","1-brom-3,3,5-trimetylhexa-1,4-đien.",D
82. Hợp chất (CH3)2C=CH-C(CH3)3 có danh pháp IUPAC là:,"2,2,4- trimetylpent-3-en.","2,4-trimetylpent-2-en.","2,4,4-trimetylpent-2-en.","2,4-trimetylpent-3-en.",C
83. Hợp chất CH2=CHC(CH3)2CH2CH(OH)CH3 có danh pháp IUPAC là:,"1,3,3-trimetylpent-4-en-1-ol.","3,3,5-trimetylpent-1-en-5-ol.","4,4-đimetylhex-5-en-2-ol.","3,3-đimetylhex-1-en-5-ol.",C
"84. Vitamin A công thức phân tử C20H30O, tìm độ không no của vitamin :",7.,6.,5.,4.,B
85. Sản phẩm của phản ứng 2 2 PCC 2 2 CH Cl CH =CH-CH -OH ⎯⎯⎯→,CH3−CH2−CH2−OH.,CH3−CH2−CH=O.,CH3−CH2−COOH.,CH2=CH−CH=O.,D
"86. Cho sơ đồ phản ứng : 2 3 o O ,men giam NH 2 5 220 C C H OH⎯⎯⎯⎯⎯→X⎯⎯⎯→Y . Tên gọi gốc-chức của Y là:",glyxin.,amonium aceat.,acid acetic.,acetamid.,D
"87. Cho 3 dd sau: phenol, stiren và benzen. Thuốc thử có thể nhận biết cả 3 dd",dung dịch AgNO3/NH3.,dung dịch Br2/CCl4.,Cu(OH)2/NaOH.,dung dịch thuốc tím.,B
88. Toluen tác dụng với Br2 (bột Fe xúc tác) thu được sản phẩm chính,.,.,.,.,Cần kiểm tra (mất hình/công thức)
89. Benzyl clorid là tên gọi gốc – chức của chất nào sau đây ?,C6H5−Cl.,p-CH3−C6H5−Cl.,C6H5−CH2−Cl.,m-CH3−C6H5−Cl.,C
"90. Licopen, công thức phân tử C40H56 là chất màu đỏ trong quả cà chua, chỉ chứa liên kết đôi và liên kết đơn trong phân tử. Hiđro hóa hoàn toàn licopen được hiđrocacbon C40H82. Vậy licopen có độ không no:",12,13.,14.,15,B
91. Độ không no C5H9O2Cl là:,0.,1.,2.,3.,B
92. Acid stearic có công thức nào sau đây:,C15H31COOH,C17H31COOH,C17H35COOH,C17H33COOH,C
93. Số mắc xích isoprene trong hợp chất hữu cơ sau là:,1.,2.,3.,4 1 2 3 4 5 6 7 8 9 10 OH,B
"94. Hợp chất hữu cơ sau là Quercetin. Nó có mặt trong trái cây, rau, lá và ngũ cốc. Quercetin có thể được sử dụng như một thành phần trong chất bổ sung, đồ uống, thực phẩm, vì có khả năng kháng virus, chống cúm. Khung cơ bản của quercetin là :",Steroid:,flavonoid:,quinolin,isoquinolin,B
95. Hợp chất hữu cơ: .Có tên thay thế là:,N-methylpropanamin,N-methylpropylmin,"N,N-methylpropanamin",N-ethylpropanamin,Cần kiểm tra (mất hình/công thức)
"96. Cho este có CTCT C6H5-COO-CH=CH2, tên gọi của este đó là:",Phenylvinylat,vinyl benzoate,ethyl vinylat,viny phenyloat,B
"97. Cho các chất sau: H2NCH2COOH (X), CH3COOH3NCH3 (Y), C2H5NH2 (Z), H2NCH2COOC2H5 (T). Dãy các chất đều tác dụng được với dd NaOH và dd HCl là:","X, Y, Z, T.","X, Y, T.","X, Y, Z.","Y, Z, T.",B
"98. Hiện tượng các chất có cấu tạo và tính chất hoá học tương tự nhau, chúng chỉ hơn kém nhau một hay nhiều nhóm metylen (-CH2-) được gọi là hiện tượng",đồng phân.,đồng vị.,đồng đẳng.,đồng khối.,C
99. Độ không no ứng với công thức C5H9O2Cl là:,0.,1.,2.,3.,B
"100. Amin X tác dụng với hỗn hợp dung dịch NaNO2 và HCl, tạo khí N2 không màu và có mùi thơm rượu. CTCT của X là ?",Metylamin.,Anilin.,Etylamin.,Đimetylamin.,C
101. Cho các alcol sau: CH3OH; C2H5OH; HOCH2-CH2OH; HOCH2-CH2- CH2OH; CH3-CH(OH)-CH2OH. Số alcol cho ở trên phản ứng được với Cu(OH)2 ở nhiệt độ thường là ?,3.,5.,2.,4.,C
102. Đun nóng butan-2-ol với H2SO4 đặc ở 1700C sản phẩm chính thu được là ? + HCl + NaOH +H2SO4 đặc; 1700,But-2-en.,Đibutylete.,Đietylete.,But-1-en.,A
103. Cho sơ đồ chuyển hóa: But-1-en A B E Tên của hợp chất E là ?,Propen.,Đibutylete.,But-2-en.,Isobutilen.,Cần kiểm tra (mất sơ đồ phản ứng)
"104. Dãy các chất nào sau đây theo thứ tự tính acid tăng dần: ethanol, acid acetic, phenol ?",Ethanol < phenol < acid acetic,acid acetic < ethanol < phenol,Phenol < ethanol < acid acetic,Acid acetic < ethanol < phenol,A
"105. Từ phenol có thể điều chế Aspirin; hay acid acetylsalicylic là một dẫn xuất của acid salicylic, thuộc nhóm thuốc chống viêm không steroid; có tác dụng giảm đau, hạ sốt, chống viêm; nó còn có tác dụng chống kết tập tiểu cầu, khi dùng liều thấp kéo dài có thể phòng ngừa đau tim và hình thành cục nghẽn trong mạch máu. Công thức phân tử của Aspirin là ?",C8H8O4.,C9H9O4.,C8H10O4.,C9H8O4.,D
"106. Acid Picric (2,4,6-trinitrophenol) có dạng tinh thể màu vàng và là một trong những hợp chất có tính acid mạnh nhất của phenol. Như các hợp chất chứa nhiều nitrat khác (TNT), axit picric là một chất nổ. CTPT của acid picric là ?",C6H3N3O7.,C6H5OH.,C9H8O4.,C8H9NO2.,A
"107. Acid benzoic được sử dụng như một chất bảo quản thực phẩm (Thường được kí hiệu là E-210) cho xúc xích, nước sốt cà chua, mù tạt, bơ thực vật … Nó ức chế sự phát triển của nấm mốc, nấm men và một số vi khuẩn. CTPT của acid benzoic là ?",CH3COOH.,HCOOH.,C6H5COOH.,(COOH)2.,C
108. Cho sơ đồ phản ứng: C2H2 → X → CH3COOH. Mỗi phản ứng giả thiết có đầy đủ chất xúc tác; nhiệt độ thích hợp. CTCT của X là ?,CH3COONa.,HCOOCH3.,CH3CHO.,C2H5OH.,C
109. Có các chất sau: C2H5NH2 (1); NH3 (2); CH3NH2 (3); C6H5NH2 (4); NaOH + HNO3 Fe + HCl + NaOH + CO2 + H2O (5) và (C6H5)2NH (6). Dãy các chất được sắp xếp theo chiều tăng dần tính bazơ là ?,(6) < (4) < (2) < (3) < (1) < (5).,(5) < (1) < (3) < (2) < (4) < (6).,(4) < (6) < (2) < (3) < (1) < (5).,(1) < (5) < (2) < (3) < (4) < (6).,A
"110. Cá có mùi tanh là do trong cá có chứa một chất có gốc amin (NH) có mùi vị tanh, điển hình là trimelylamin là chất có mùi tanh nổi trội nhất. Người ta cũng đã định lượng được trong 100g cá nước ngọt có từ 66-116 mg trimetylamin, còn trong 100g cá biển có từ 250-470mg chất đó (có lẽ vì thế nên chúng ta thường cảm thấy cá biển tanh hơn cá nước ngọt). CTCT của trimetylamin là ?",(CH3)3C-NH2.,CH3NHCH3.,(CH3)2CH-NH-CH3.,(CH3)3N.,D
111. Cho sơ đồ chuyển hóa: X C6H5ONa X Tên của hợp chất X là ?,Ancol benzylic.,Anilin.,Axit benzoic.,Phenol.,D
112. Cho sơ đồ chuyển hóa: Benzen X Y . CTCT của hợp chất Y là ?,C6H5-OH.,C6H5-CH3.,C6H5-Cl.,C6H5-NH2. 1,D
113. Cho sơ đồ phản ứng sau: HC≡C-CH3 + AgNO3/NH3 → X + NH4NO3 Công thức cấu tạo (CTCT) của hợp chất X là ?,AgC≡CAg.,AgC≡C-CH3.,Ag2O.,AgC≡CH.,B
114. Hợp chất X có CTCT: CH3CH(C2H5)CH(OH)CH3. Tên gọi của X là ?,4-etylpentan-2-ol.,2-etylbutan-3-ol.,3-etylhexan-5-ol.,3-metylpentan-2-ol.,D
115. Hiđrat hóa 2-metylbut-2-en thu được sản phẩm chính là ?,2-metylbutan-2-ol.,3-metylbutan-1-ol.,3-metylbutan-2-ol.,2-metylbutan-1-ol.,A
116. Cho các chất sau: C6H5OH; C6H5CH=CH2; C6H5CH2OH. Thuốc thử duy nhất có thể phân biệt được ba chất lỏng đựng trong ba lọ mất nhãn là ?,Na.,Br2.,NaOH.,Quỳ tím.,B
117. Dãy gồm các chất điều chế trực tiếp ra anđehit axetic bằng một phương trình phản ứng là ?,C2H5OH; C2H4; C2H2.,CH3COOH; C2H4; C2H2.,C2H5OH; HCOOCH3; C2H2.,HCOOC2H3; C2H2; CH3Cl.,A
"118. Hiđro hóa chất hữu cơ X, thu được (CH3)2CHCH(OH)CH3. Tên thay thế chất X là ?",Metylisopropylxeton.,2-metylbutan-3-on.,3-metylbutan-2-ol.,3-metylbutan-2-on.,D
119. Phản ứng nào chứng minh tính axit của axit axetic mạnh hơn phenol ?,Dung dịch NaOH.,Kim loại Na.,Dung dịch NaHCO3.,Dung dịch Br2.,C
120. Phân biệt các chất riêng biệt sau: phenol; axit axetic và axit acrylic bằng dung dịch nào sau đây ?,Na2CO3.,AgNO3/NH3.,Br2.,NaOH.,C
121. Dung dịch axit axetic phản ứng được với tất cả các chất trong dãy sau đây ?,Na; CuO; HCl.,NaOH; Cu; NaCl. 2,Na; CuO; NaCl.,NaOH; CaCO3; Na.,D
122. Axit cacboxylic no; đơn chức; mạch hở C4H8O2 có bao nhiêu đồng phân ?,5.,3.,4.,2.,D
123. Etilen glicol làm chất chống đông cho nước dùng trong két nước làm mát động cơ ô tô và để sản xuất tơ polieste. CTCT của etilen glicol là ?,C2H4(OH)2.,C2H4.,C3H5(OH)3.,C2H5OH.,A
"124. Tính chống kích nổ được đặc trưng bằng chỉ số octan. Về trị số nó được biểu thị bằng số phần trăm thể tích isooctan (2,2,4-trimetylpentan) trong hỗn hợp với n- heptan. Thực tế, isooctan chống kích nổ tốt nhất, được quy ước là 100. CTPT của isooctan là ?",CH3CH2CH2CH2CH2CH2CH2CH3.,(CH3)3CCH2CH(CH3)CH3.,CH3CH2CH2CH2CH3.,CH3CH(CH3)CH2CH(CH3)CH3.,B
125. Axit citric hay axit xitric [HOOC-CH2-C(COOH)(OH)-CH2-COOH] là một axit hữu cơ yếu. Độ không no trong phân tử axit xitric là ?,3.,0.,2.,1.,A
126. Hai đồng phân C2H5OH và CH3OCH3 có cùng CTPT C2H6O thuộc loại đồng phân nào sau đây ?,Đồng phân mạch cacbon.,Đồng phân hình học.,Đồng phân vị trí nhóm chức.,Đồng phân nhóm chức.,D
127. Hợp chất sau đây: CH3CH(CH3)CH=C(CH3)CH2CH3 có tên gọi là ?,"2,4-đimetylhex-3-en.",2-metylhex-3-en.,3-metylhex-3-en.,"3,5-đimetylhex-3-en.",A
128. Cho các chất sau: acid axetic; glycerol; ethanol; acetanđehit. Thuốc thử nhận biết các chất trên là ?,Quỳ tím.,NaOH.,Cu(OH)2/OH-.,HCl.,C
129. Cả phenol (C6H5OH) và anilin (C6H5NH2) đều phản ứng được với chất ?,Br2.,NaOH.,HCl.,Na.,A
"130. Để khử mùi tanh của cá, người ta dùng chất nào sau đây ?",Ancol etylic (C2H5OH).,Giấm ăn (CH3COOH).,Chuối xanh thái lác (Chứa tanin).,Cả A; B; C đều đúng. 3,D
"131. Amin X tác dụng với hỗn hợp dung dịch NaNO2 và HCl, tạo khí N2 không màu và có mùi thơm rượu. CTCT của X là ?",Metylamin.,Anilin.,Etylamin.,Đimetylamin.,C
132. Cho các alcol sau: CH3OH; C2H5OH; HOCH2-CH2OH; HOCH2-CH2- CH2OH; CH3-CH(OH)-CH2OH. Số alcol cho ở trên phản ứng được với Cu(OH)2 ở nhiệt độ thường là ?,3.,5.,2.,4.,C
