Question,A,B,C,D,Answer
Máy hình 2.1 là máy......,Máy Hoà Tan,Máy Quang Phổ UV – Vis,Máy Tan Rã,Máy HPLC hình 2.2,
Máy hình 2.2 là máy........,Máy Hoà Tan,Máy Quang Phổ UV – Vis,Máy Tan Rã,Máy HPLC hình 2.3,
Máy hình 2.3 là máy......,Máy Hoà Tan,Máy Quang Phổ UV – Vis,Máy Tan Rã,Máy HPLC hình 2.4,
Máy hình 2.4 là máy......,Máy Hoà Tan,Máy Quang Phổ UV – Vis,Máy Tan Rã,Máy HPLC,
Viên nén là:,"Dạng thuốc rắn, mỗi viên là một đơn vị phân liều, dùng để uống, nhai, ngậm, đặt hoặc hòa với nước để uống, để súc miệng, để rửa.... Viên nén chứa một hoặc nhiều dược chất, có thể thêm các tá dược độn, tá dược rã, tá dược dính, tá dược trơn, tá dược bao, tá dược màu... được nén thành khối hình trụ dẹt, thuôn (caplet) hoặc các hình dạng khác. Viên có thể được bao.","Dạng thuốc uống chứa một hay nhiều dược chất trong vỏ nang với nhiều hình dạng và kích thước khác nhau. Vỏ nang được làm chủ yếu từ gelatin hoặc polyme như HPMC.. (hydroxypropyl methyl cellulose) .... Ngoài ra trong vỏ nang còn chứa các tá dược khác như chất hóa dẻo, chất màu, chất bảo quản...",Những chế phẩm thuốc vô khuẩn dùng để tiêm hoặc tiêm truyền vào cơ thể.,Tất cả đều sai,
Viên nang là:,"Dạng thuốc uống chứa một hay nhiều dược chất trong vỏ nang với nhiều hình dạng và kích thước khác nhau. Vỏ nang được làm chủ yếu từ gelatin hoặc polyme như HPMC.. (hydroxypropyl methyl cellulose) .... Ngoài ra trong vỏ nang còn chứa các tá dược khác như chất hóa dẻo, chất màu, chất bảo quản...","Dạng thuốc rắn, mỗi viên là một đơn vị phân liều, dùng để uống, nhai, ngậm, đặt hoặc hòa với nước để uống, để súc miệng, để rửa.... Viên nén chứa một hoặc nhiều dược chất, có thể thêm các tá dược độn, tá dược rã, tá dược dính, tá dược trơn, tá dược bao, tá dược màu... được nén thành khối hình trụ dẹt, thuôn (caplet) hoặc các hình dạng khác. Viên có thể được bao.",Những chế phẩm thuốc vô khuẩn dùng để tiêm hoặc tiêm truyền vào cơ thể.,Tất cả đều sai,
"Thuốc tiêm, thuốc tiêm truyền là:",những chế phẩm thuốc vô khuẩn dùng để tiêm hoặc tiêm truyền vào cơ thể.,"Dạng thuốc rắn, mỗi viên là một đơn vị phân liều, dùng để uống, nhai, ngậm, đặt hoặc hòa với nước để uống, để súc miệng, để rửa.... Viên nén chứa một hoặc nhiều dược chất, có thể thêm các tá dược độn, tá dược rã, tá dược dính, tá dược trơn, tá dược bao, tá dược màu... được nén thành khối hình trụ dẹt, thuôn (caplet) hoặc các hình dạng khác. Viên có thể được bao.","Dạng thuốc uống chứa một hay nhiều dược chất trong vỏ nang với nhiều hình dạng và kích thước khác nhau. Vỏ nang được làm chủ yếu từ gelatin hoặc polyme như HPMC.. (hydroxypropyl methyl cellulose) .... Ngoài ra trong vỏ nang còn chứa các tá dược khác như chất hóa dẻo, chất màu, chất bảo quản...",Tất cả đều sai,
"Kiểm nghiêm độ đồng đều khối lượng thuốc viên nang, khối lượng trung bình (KLTB) <300mg thì % chênh lệch so với KLTB là:",± 10%,"± 7,5 %",± 5%,Tất cả đều đúng,
"Kiểm nghiêm độ đồng đều khối lượng thuốc viên nang, khối lượng trung bình (KLTB) ≥300mg thì % chênh lệch so với KLTB là:",±10%,"± 7,5 %",± 5%,Tất cả đều đúng,
Độ đồng đều khối lượng thuốc mềm dùng trên da và niêm mạc dung phương pháp …,Phương pháp 1,Phương pháp 2,Phương pháp 3,Phương pháp 4,
Độ đồng nhất thuốc mềm dung trên da và niêm mạc dùng … ... đơn vị đóng gói,04 đơn vị gói,05 đơn vị gói,06 đơn vị gói,Tất cả đều sai,
"Độ đồng đều về khối lượng, khối lượng ghi trên – KLN (gói, lọ) là ≤ 10,0g thì % chênh lệch so với KLN là",± 15%,± 10%,± 8%,± 5%,
"Độ đồng đều về khối lượng, khối lượng ghi trên – KLN (gói, lọ) là > 10,0g và ≤ 20,0g thì % chênh lệch so với KLN là",± 15%,± 10%,± 8%,± 5%,
"Độ đồng đều về khối lượng, khối lượng ghi trên – KLN (gói, lọ) là > 20,0g và ≤ 50,0g thì % chênh lệch so với KLN là",± 15%,± 10%,± 8%,± 5%,
"Độ đồng đều về khối lượng, khối lượng ghi trên – KLN (gói, lọ) là > 50,0g thì % chênh lệch so với KLN là",± 15%,± 10%,± 8%,± 5%,
Thuốc mỡ thân dầu là?,Thuốc mỡ thân dầu có thể hút (hấp phụ) một lượng nhỏ nước hoặc dung môi phân cực.,Thuốc mỡ thân nước có thể trộn lẫn với nước.,A và B đều đúng,A và B đều sai,
Thuốc mỡ thân nước là?,Thuốc mỡ thân dầu có thể hút (hấp phụ) một lượng nhỏ nước hoặc dung môi phân cực.,Thuốc mỡ thân nước có thể trộn lẫn với nước.,A và B đều đúng,A và B đều sai,
"Kiểm nghiệm thuốc mỡ tra mắt, độ đồng nhất lấy…",01 đơn vị,02 đơn vị,04 đơn vị,05 đơn vị,
Kem bôi da là?,"là những chế phẩm thuộc hệ phân tán nhiều pha, bao gồm: pha dầu, pha nước và chất nhũ hoá.","là những chế phẩm thuốc mỡ dùng cho mắt, chứa một hoặc nhiều dược chất hòa tan hoặc phân tán trong tá dược, được xếp vào nhóm các chế phẩm vô khuẩn. Tá dược và dược chất dùng cho thuốc mỡ tra mắt phải không bị phân hủy khi tiệt khuẩn bằng nhiệt.","là những chế phẩm thể chất mềm, sử dụng tá dược tạo gel thích hợp.",Tất cả đều sai,
Thuốc tiêm có mấy phương pháp?,01 phương pháp,02 phương pháp.,03 phương pháp.,04 phương pháp.,A
"Thuốc tiêm, phương pháp 1 gồm:","Thể tích không lớn hơn 5 ml, Lấy 6 ống.",Thể tích của mỗi ống phải từ 100 - 115% của thể tích ghi trên nhãn.,A và B đều đúng.,A và B đều sai.,
"Thuốc tiêm, phương pháp 2 gồm:",Thể tích lớn hơn 5 ml Lấy 4 ống,Thể tích của mỗi ống phải từ 100 - 110% của thể tích ghi trên nhãn.,A và B đều đúng.,A và B đều sai.,
Nếu Thuốc tiêm có thể tích ≤ 5 ml thì dùng phương pháp mấy?,Phương pháp 01.,Phương pháp 02.,A và B đều đúng.,A và B đều sai.,
Nếu Thuốc tiêm có thể tích > 5 ml thì dùng phương pháp mấy?,Phương pháp 01.,Phương pháp 02.,A và B đều đúng.,A và B đều sai.,
"Thuốc tiêm đa liều, thuốc tiêm truyền có thể ghi trên nhãn ≤ 50ml, thì giới hạn cho phép (%) là bao nhiêu?",+ 10%,+ 5%,"± 7,5%",± 15%,
"Thuốc tiêm đa liều, thuốc tiêm truyền có thể ghi trên nhãn > 50ml, thì giới hạn cho phép (%) là bao nhiêu?",+ 10%,+ 5%,"± 7,5%",± 15%,
"Thử độ đồng thể tích của thuốc tiêm, dùng phương pháp 1 lấy mấy ống tiêm?","6 ống (1 ống để tráng bơm tiêm, 5 ống để thử).","Lấy 4 ống (1 ống để tráng bơm tiêm, 3 ống để thử).",A và B đều đúng.,A và B đều sai.,
Dược chất: phải,"là loại nguyên liệu dùng để pha thuốc tiêm, thuốc tiêm truyền.","là nước cất để pha thuốc tiêm, dung môi hòa tan với nước (ethanol, propylen glycol,...), dầu thực vật trung tính hoặc các dung môi thích hợp khác. Dung môi dùng trong thuốc tiêm phải đảm bảo an toàn và không ảnh hưởng đến hiệu lực điều trị ở thể tích tiêm.",A và B đều đúng,A và B đều sai,
Dung môi: thường dùng pha thuốc tiêm,"là nước cất để pha thuốc tiêm, dung môi hòa tan với nước (ethanol, propylen glycol,...), dầu thực vật trung tính hoặc các dung môi thích hợp khác. Dung môi dùng trong thuốc tiêm phải đảm bảo an toàn và không ảnh hưởng đến hiệu lực điều trị ở thể tích tiêm.","là loại nguyên liệu dùng để pha thuốc tiêm, thuốc tiêm truyền.",A và B đều đúng.,A và B đều sai.,
Kiểm tra độ đồng đều hàm lượng của thuốc tiêm khi: (ngoại trừ),Hàm lượng hoạt chất nhỏ hơn 2mg,Nhỏ hơn 2%,A và B đều đúng,A và B đều sai,
Sirô thuốc là ?,"là dung dịch uống chứa nồng độ cao đường trắng (sucrose) hay các loại đường khác trong nước tinh khiết, có chứa các dược chất hoặc các dịch chiết từ dược liệu.",là dung dịch đường trắng gần bão hòa trong nước tinh khiết,A và B đều đúng,A và B đều sai,
Sirô đơn là ?,là dung dịch đường trắng gần bão hòa trong nước tinh khiết.,"là dung dịch uống chứa nồng độ cao đường trắng (sucrose) hay các loại đường khác trong nước tinh khiết, có chứa các dược chất hoặc các dịch chiết từ dược liệu.",A và B đều đúng,A và B đều sai,
Phương pháp điều chế Sirô đơn:,Hoà tan đường trắng vào nước tinh khiết bằng phương pháp hòa tan nóng hay hòa tan nguội. Lọc.,"hòa tan, nhũ hóa hay trộn đều dược chất hay dung dịch thuốc vào trong dung dịch của đường trắng, của các loại đường khác hay của tác nhân gây ngọt, hoặc trong sirô đơn. Lọc đối với sirô dạng dung dịch.",A và B đều đúng,A và B đều sai,
Phương pháp điều chế Sirô thuốc:,"hòa tan, nhũ hóa hay trộn đều dược chất hay dung dịch thuốc vào trong dung dịch của đường trắng, của các loại đường khác hay của tác nhân gây ngọt, hoặc trong sirô đơn. Lọc đối với sirô dạng dung dịch.",Hoà tan đường trắng vào nước tinh khiết bằng phương pháp hòa tan nóng hay hòa tan nguội. Lọc.,A và B đều đúng,A và B đều sai,
Sirô đơn điều chế với đường trắng có nồng độ là,64% (kl/kl).,46% (kl/kl).,68% (kl/kl).,84% (kl/kl).,
"Giới hạn cho phép về thể tích thuốc nhỏ mắt, chênh lệch thể tích là:",±10%,-10%,Tất cả đều đúng,Tất cả đều sai,
"Giới hạn cho phép về thể tích thuốc nhỏ mắt, cách thử là :",05 đơn vị,04 đơn vị,06 đơn vị,10 đơn vị,
Hình nào là dụng cụ picnomet:,Hình B,Hình A,Tất cả đều đúng,Tất cả đều sai,
Thuốc nhỏ mắt,"là dung dịch nước, dung dịch dầu hoặc hỗn dịch vô khuẩn của một hay nhiều hoạt chất, dùng để nhỏ vào mắt.",là dung dịch đường trắng gần bão hòa trong nước tinh khiết.,"là dung dịch uống chứa nồng độ cao đường trắng (sucrose) hay các loại đường khác trong nước tinh khiết, có chứa các dược chất hoặc các dịch chiết từ dược liệu.",Tất cả đều đúng,
"Đồ đựng thuốc nhỏ mắt chứa nhiều liều phải có bộ phận nhỏ giọt thích hợp, thể tích mỗi đơn vị đóng gói không nên vượt quá",08ml,10 ml,20ml,Tất cả đều sai,
Thời gian sử dụng thuốc nhỏ mắt kể từ khi sử dụng lần đầu tiên là…..,03 tuần,04 tuần,05 tuần,Tất cả đều sai,
"Giới hạn cho phép về thể tích của thuốc nhỏ mắt, chênh lệch thể tích là",± 10%,+ 10%,± 15%,Tất cả đều đúng,
"Giới hạn cho phép về thể tích của thuốc nhỏ mắt,cách thử ….. đơn vị là:",04 đơn vị,05 đơn vị,A và B đều đúng,A và B đều sai,
Thuốc nhỏ mũi và thuốc xịt mũi dạng lỏng,"là các dung dịch, nhũ tương hay hỗn dịch dùng để nhỏ hoặc bơm xịt vào trong hốc mũi để gây tác dụng tại chỗ hay toàn thân.","là dung dịch nước, dung dịch dầu hoặc hỗn dịch vô khuẩn của một hay nhiều hoạt chất, dùng để nhỏ vào mắt.",là dung dịch đường trắng gần bão hòa trong nước tinh khiết.,Tất cả đều đúng,
Thuốc bột là:,"có Dạng thuốc rắn, gồm các hạt nhỏ, khô tơi, có độ mịn xác định, chứa một hay nhiều dược chất. Thuốc bột thể dùng để uống, để pha tiêm hay để dùng ngoài.","Dạng thuốc uống chứa một hay nhiều dược chất trong vỏ nang với nhiều hình dạng và kích thước khác nhau. Vỏ nang được làm chủ yếu từ gelatin hoặc polyme như HPMC.. (hydroxypropyl methyl cellulose) .... Ngoài ra trong vỏ nang còn chứa các tá dược khác như chất hóa dẻo, chất màu, chất bảo quản...","Dạng thuốc rắn, mỗi viên là một đơn vị phân liều, dùng để uống, nhai, ngậm, đặt hoặc hòa với nước để uống, để súc miệng, để rửa.... Viên nén chứa một hoặc nhiều dược chất, có thể thêm các tá dược độn, tá dược rã, tá dược dính, tá dược trơn, tá dược bao, tá dược màu... được nén thành khối hình trụ dẹt, thuôn (caplet) hoặc các hình dạng khác. Viên có thể được bao.",Tất cả đều sai,
"Kiểm nghiệm thuốc bột, thử độ đồng đều khối lượng dùng phương pháp ……",Phương pháp 2,Phương pháp 4,A và B đều đúng,A và B đều sai,A
"Kiểm nghiệm thuốc bột, yêu cầu thử độ ẩm:",≤ 9%,≤ 10%,≥9%,≥10%,
Thuốc bột đơn liều /Thuốc cốm không bao đơn liều: độ chênh lệch được tính theo tỷ lệ phần trăm so với khối lượng trung bình bột thuốc trong một đơn vị đóng gói. ( KLTB < 300mg),± 10%,± 5%,± 15%,"± 7,5%",
Thuốc bột đơn liều /Thuốc cốm không bao đơn liều: độ chênh lệch được tính theo tỷ lệ phần trăm so với khối lượng trung bình bột thuốc trong một đơn vị đóng gói. ( KLTB ≥300mg),± 10%,± 5%,± 15%,"± 7,5%",
Thử độ đồng đều khối lượng thuốc bột dùng bao nhiêu đơn vị,10 đơn vị,15 đơn vị,20 đơn vị,tất cả đều đúng,
"Thuốc bột đa liều / Thuốc cốm đa liều : độ chênh lệch được tính theo tỷ lệ phần trăm so với khối lượng ghi trên nhãn của một đơn vị đóng gói. (≤0,5g/gói)",± 10%,± 7%,± 5%,± 3%,
"Thuốc bột đa liều / Thuốc cốm đa liều : độ chênh lệch được tính theo tỷ lệ phần trăm so với khối lượng ghi trên nhãn của một đơn vị đóng gói. ( trên 0,5 – 1,5g/gói)",± 10%,± 7%,± 5%,± 3%,
"Thuốc bột đa liều / Thuốc cốm đa liều : độ chênh lệch được tính theo tỷ lệ phần trăm so với khối lượng ghi trên nhãn của một đơn vị đóng gói. ( trên 1,5 – 6g/gói)",± 10%,± 7%,± 5%,± 3%,
Thuốc bột đa liều / Thuốc cốm đa liều : độ chênh lệch được tính theo tỷ lệ phần trăm so với khối lượng ghi trên nhãn của một đơn vị đóng gói. ( trên 6g/gói),± 10%,± 7%,± 5%,± 3%,
Thuốc cốm ( thuốc hạt) là:,"là dạng thuốc rắn có hạtnhỏ xốp hay sợi ngắn xốp, thường dùng để uống với một ít nước hay một chất lỏng thích hợp, hoặc pha thành dung dịch, hỗn dịch hay siro.","Dạng thuốc rắn, gồm các hạt nhỏ, khô tơi, có độ mịn xác định, chứa một hay nhiều dược chất. Thuốc bột có thể dùng để uống, để pha tiêm hay để dùng ngoài.","Dạng thuốc uống chứa một hay nhiều dược chất trong vỏ nang với nhiều hình dạng và kích thước khác nhau. Vỏ nang được làm chủ yếu từ gelatin hoặc polyme như HPMC.. (hydroxypropyl methyl cellulose) .... Ngoài ra trong vỏ nang còn chứa các tá dược khác như chất hóa dẻo, chất màu, chất bảo quản",Tât cả đều đúng,
Thuốc không đạt tiêu chuẩn chất lượng là:,Thuốc không đạt tiêu chuẩn chất lượng đã đăng ký với cơ quan nhà nước có thẩm quyền.,"Không có dược chất, dược liệu.",Có dược chất không đúng với dược chất ghi trên nhãn hoặc theo tiêu chuẩn đã đăng ký lưu hành hoặc ghi trong giấy phép nhập khẩu.,"Được sản xuất, trình bày hoặc dán nhãn nhằm mạo danh nhà sản xuất, nước sản xuất hoặc nước xuất xứ.",
Thuốc giả là thuốc được sản xuất thuộc một trong các trường hợp sau đây: (ngoại trừ),"Không có dược chất, dược liệu.",Có dược chất không đúng với dược chất ghi trên nhãn hoặc theo tiêu chuẩn đã đăng ký lưu hành hoặc ghi trong giấy phép nhập khẩu.,"Được sản xuất, trình bày hoặc dán nhãn nhằm mạo danh nhà sản xuất, nước sản xuất hoặc nước xuất xứ.",Là thuốc không đạt tiêu chuẩn chất lượng đã đăng ký với cơ quan nhà nước có thẩm quyền.,
Thuốc lưu hành trên thị trường phải đáp ứng yêu cầu sau đây: (ngoại trừ),"Đạt tiêu chuẩn chất lượng và bảo đảm về an toàn, hiệu quả.",Đáp ứng yêu cầu về nhãn thuốc quy định.,Vật liệu bao bì và dạng đóng gói phải đáp ứng yêu cầu ĐBCL thuốc.,Tất cả đều sai.,
Chứng nhận hợp chuẩn,Là việc xác nhận đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.,Là việc xác nhận đối tượng của hoạt động trong lĩnh vực quy chuẩn kỹ thuật phù hợp với quy chuẩn kỹ thuật tương ứng.,"Là việc tổ chức, cá nhân tự công bố đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.",Tất cả đều đúng.,
Chứng nhận hợp quy,Là việc xác nhận đối tượng của hoạt động trong lĩnh vực quy chuẩn kỹ thuật phù hợp với quy chuẩn kỹ thuật tương ứng.,Là việc xác nhận đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.,"Là việc tổ chức, cá nhân tự công bố đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.",Tất cả đều đúng.,
Công bố hợp chuẩn,"Là việc tổ chức, cá nhân tự công bố đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.",Là việc xác nhận đối tượng của hoạt động trong lĩnh vực quy chuẩn kỹ thuật phù hợp với quy chuẩn kỹ thuật tương ứng.,Là việc xác nhận đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.,Tất cả đều đúng,
Công bố hợp quy,"Là việc tổ chức, cá nhân tự công bố đối tượng của hoạt động trong lĩnh vực quy chuẩn kỹ thuật phù hợp với quy chuẩn kỹ thuật tương ứng.","Là việc xác nhận phòng thử nghiệm, phòng hiệu chuẩn, tổ chức chứng nhận sự phù hợp, tổ chức giám định có năng lực phù hợp với các yêu cầu tương ứng.",Là việc xác nhận đối tượng của hoạt động trong lĩnh vực quy chuẩn kỹ thuật phù hợp với quy chuẩn kỹ thuật tương ứng.,Tất cả đều đúng,
Công nhận,"Là việc xác nhận phòng thử nghiệm, phòng hiệu chuẩn, tổ chức chứng nhận sự phù hợp, tổ chức giám định có năng lực phù hợp với các yêu cầu tương ứng.","Là việc tổ chức, cá nhân tự công bố đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.",Là việc xác nhận đối tượng của hoạt động trong lĩnh vực quy chuẩn kỹ thuật phù hợp với quy chuẩn kỹ thuật tương ứng.,Là việc xác nhận đối tượng của hoạt động trong lĩnh vực tiêu chuẩn phù hợp với tiêu chuẩn tương ứng.,
KLTB của viên nén (mg) ≤ 80 mg thì % chênh lệch so với KLTB là:,± 10%,"± 7,5%",± 5%,Tất cả đều đúng,
KLTB của viên nén (mg) > 80 - 250 mg thì % chênh lệch so với KLTB là:,± 10%,"± 7,5%",± 5%,Tất cả đều đúng,
KLTB của viên nén (mg) > 250 mg thì % chênh lệch so với KLTB là:,± 10%,"± 7,5%",± 5%,Tất cả đều đúng,
Thuốc có hoạt chất tinh khiết,"Được chiết xuất từ dược liệu, thuốc có sự kết hợp dược liệu với các hoạt chất hoá học tổng hợp không gọi là thuốc từ dược liệu.","Là dạng thuốc đã qua tất cả các giai đoạn sản xuất, kể cả đóng gói trong bao bì cuối cùng và dán nhãn.","Là thuốc được sản xuất từ nguyên liệu có nguồn gốc tự nhiên từ động vật, thực vật hoặc khoáng chất.","Là thuốc từ dược liệu, được bào chế theo lý luận và phương pháp của y học cổ truyền của các nước phương Đông.",
Thuốc thành phẩm là,"Là dạng thuốc đã qua tất cả các giai đoạn sản xuất, kể cả đóng gói trong bao bì cuối cùng và dán nhãn.","Là thuốc được sản xuất từ nguyên liệu có nguồn gốc từ thiên nhiên: động vật, thực vật hoặc khoáng chất.","Là thuốc từ dược liệu, được bào chế theo lý luận và phương pháp của y học cổ truyền của các nước phương Đông.","Được chiết xuất từ dược liệu, thuốc có sự kết hợp dược liệu với các hoạt chất hoá học tổng hợp không gọi là thuốc từ dược liệu.",
Thuốc từ dược liệu,"Là thuốc được sản xuất từ nguyên liệu có nguồn gốc từ thiên nhiên: động vật, thực vật hoặc khoáng chất.","Là dạng thuốc đã qua tất cả các giai đoạn sản xuất, kể cả đóng gói trong bao bì cuối cùng và dán nhãn.","Là thuốc từ dược liệu, được bào chế theo lý luận và phương pháp của y học cổ truyền của các nước phương Đông.","Được chiết xuất từ dược liệu, thuốc có sự kết hợp dược liệu với các hoạt chất hoá học tổng hợp không gọi là thuốc từ dược liệu.",
Thuốc đông y,"Là thuốc từ dược liệu, được bào chế theo lý luận và phương pháp của y học cổ truyền của các nước phương Đông.","Được chiết xuất từ dược liệu, thuốc có sự kết hợp dược liệu với các hoạt chất hoá học tổng hợp không gọi là thuốc từ dược liệu.","Là dạng thuốc đã qua tất cả các giai đoạn sản xuất, kể cả đóng gói trong bao bì cuối cùng và dán nhãn.","Là thuốc được sản xuất từ nguyên liệu có nguồn gốc tự nhiên từ động vật, thực vật hoặc khoáng chất",
Thuốc mới,"Là thuốc chứa dược chất mới, thuốc có sự kết hợp mới của các dược chất đã lưu hành.",Là chất tham gia vào thành phần cấu tạo sản phẩm trong quá trình sản xuất thuốc.,Là chất hoặc hỗn hợp các chất có hoạt tính điều trị được sử dụng trong sản xuất thuốc.,"Là thuốc có tên thương mại do cơ sở sản xuất thuốc đặt ra, khác với tên gốc hoặc tên chung quốc tế.",
Nguyên liệu làm thuốc là,Là chất tham gia vào thành phần cấu tạo sản phẩm trong quá trình sản xuất thuốc.,"Là thuốc chứa dược chất mới, thuốc có sự kết hợp mới của các dược chất đã lưu hành.",Là chất hoặc hỗn hợp các chất có hoạt tính điều trị được sử dụng trong sản xuất thuốc.,"Là thuốc có tên thương mại do cơ sở sản xuất thuốc đặt ra, khác với tên gốc hoặc tên chung quốc tế.",
Dược chất (hoạt chất) là?,Là chất hoặc hỗn hợp các chất có hoạt tính điều trị được sử dụng trong sản xuất thuốc.,Là chất tham gia vào thành phần cấu tạo sản phẩm trong quá trình sản xuất thuốc.,"Là thuốc chứa dược chất mới, thuốc có sự kết hợp mới của các dược chất đã lưu hành.","Là thuốc có tên thương mại do cơ sở sản xuất thuốc đặt ra, khác với tên gốc hoặc tên chung quốc tế.",
Biệt dược là?,"Là thuốc có tên thương mại do cơ sở sản xuất thuốc đặt ra, khác với tên gốc hoặc tên chung quốc tế.",Là chất hoặc hỗn hợp các chất có hoạt tính điều trị được sử dụng trong sản xuất thuốc.,Là chất tham gia vào thành phần cấu tạo sản phẩm trong quá trình sản xuất thuốc.,"Là thuốc chứa dược chất mới, thuốc có sự kết hợp mới của các dược chất đã lưu hành.",
Viết tắt Thực hành tốt sản xuất thuốc,GLP,GSP,GDP,Tất cả đều sai.,
Viết tắt Thực hành tốt phòng kiểm nghiệm thuốc,GLP,GMP,GSP,Tất cả đều sai.,
Viết tắt Thực hành tốt bảo quản thuốc,GSP,GMP,GDP,GPP,
Viết tắt Thực hành tốt phân phối thuốc,GPP,GLP,GMP,Tất cả đều sai.,
Viết tắt Thực hành tốt nhà thuốc,GPP,GLP,GMP,Tất cả đều sai.,
Hệ thống quản lý chất lượng thuốc,Chính phủ,Bộ Y tế,Cục Quản lý dược,Sở Y tế,
Hệ thống tổ chức của các cơ sở kiểm nghiệm thuốc,Cơ sở kiểm nghiệm của Nhà nước về thuốc,Phòng kiểm nghiệm thuốc của các cơ sở kinh doanh thuốc,Doanh nghiệp làm dịch vụ kiểm nghiệm thuốc,Tất cả đều đúng.,
"Cơ sở kiểm nghiệm thuốc, nguyên liệu làm thuốc bao gồm:","Cơ sở kiểm nghiệm thuốc, nguyên liệu làm thuốc của Nhà nước;","Cơ sở kinh doanh dịch vụ kiểm nghiệm thuốc, nguyên liệu làm thuốc;",Phòng kiểm nghiệm của cơ sở kinh doanh dược.,Tất cả đều đúng.,
Lô sản xuất:,"Là một lượng xác định nguyên liệu ban đầu, nguyên liệu bao gói, hoặc sản phẩm được chế biến trong một quy trình để tạo thành một loạt các quy trình và có tính đồng nhất.","Là lô thuốc của cùng nhà sản xuất, cùng ký hiệu của lô sản xuất, cùng loại thuốc, cùng nồng độ, hàm lượng, cùng tình trạng chất lượng và cùng kích cỡ đóng gói.","Là một phần của lô sản xuất như một số gói, một số hộp hay một số thùng nguyên vẹn hoặc không nguyên vẹn được chọn ra để lấy mẫu.",Tất cả đều sai.,
LÔ ĐỒNG NHẤT:,"Là lô thuốc của cùng nhà sản xuất, cùng ký hiệu của lô sản xuất, cùng loại thuốc, cùng nồng độ, hàm lượng, cùng tình trạng chất lượng và cùng kích cỡ đóng gói.","Là một phần của lô sản xuất như một số gói, một số hộp hay một số thùng nguyên vẹn hoặc không nguyên vẹn được chọn ra để lấy mẫu.",A và B đều đúng.,A và B đều sai.,
ĐƠN VỊ LẤY MẪU:,"Là một phần của lô sản xuất như một số gói, một số hộp hay một số thùng nguyên vẹn hoặc không nguyên vẹn được chọn ra để lấy mẫu.","Là một lượng xác định nguyên liệu ban đầu, nguyên liệu bao gói, hoặc sản phẩm được chế biến trong một quy trình đơn lẻ hoặc một loạt các quy trình và có tính đồng nhất.","Là lô thuốc của cùng nhà sản xuất, cùng ký hiệu của lô sản xuất, cùng loại thuốc, cùng nồng độ, hàm lượng, cùng tình trạng chất lượng và cùng kích cỡ đóng gói.",Tất cả đều sai.,
"Tại cơ sở kiểm nghiệm thuốc của Nhà nước: Sổ sách, phiếu kiểm nghiệm lưu ít nhất…",03 năm,01 năm,02 năm,04 năm,
