Question,A,B,C,D,Answer
Ý nào sau đây là sai khi đề cập đến giả thuyết nghiên cứu,"Là một nhận định,dự doán về mối quan hệ giữa các hiện tượng,các biến số hoặc kết quả nghiên cứu","Là câu trả lời dự kiến cho câu hỏi nghiên cứu,nhưng chưa được chứng minh và cần được kiểm định thông qua nghiên cứu",Giả thuyết sẽ được kiểm chứng bằng số liệu nghiên cứu,Là giả định trước khi tiến hành nghiên cứu một đề tài,D
"Trong tuyến y tế cơ sở,giả thuyết nghiên cứu có.....vai trò",2,3,4,5,D
Ý nào sau đây là sai khi đề cập đến đề cương nghiên cứu khoa học :,Bản thiết kế ban đầu cho các nghiên cứu,Văn bản trình bày kế hoạch nghiên cứu dự kiến,Phác thảo các hoạt động nghiên cứu,Căn cứ để hội đồng khoa học xem xét,C
Mục đích và ý nghĩa của đề cương nghiên cứu khoa học có....nội dung,2,3,4,5,D
"Giúp xác định rõ vấn đề cần nghiên cứu,phạm vi nghiên cứu và trình tuẹ thực hiện là mục đích nào sau đây của ĐCNCKH",Định hướng nghiên cứu,Định rõ mục tiêu nghiên cứu,Dự kiến phương pháp nghiên cứu,Đảm bảo tính khoa học của đề tài,A
Mục tiêu nghiên cứu bao gồm:,Mục tiêu chính và mục tiêu phụ,Mục tiêu tổng quát và mục tiêu cụ thể,Mục tiêu trước mắt và mục tiêu lâu dài,Mục tiêu ngắn hạn và mục tiêu dài hạn,B
Thành phần đề cương NCHK gồm có.....nội dung:,6,7,9,10,D
Tên đề tài là cơ sở để....,Nhận dạng đề tài,Xác định phạm vi và định hướng toàn bộ nghiên cứu,Phân biệt với các đề tài khác,Xác định đối tượng và nội dung nghiên cứu,B
Đặt vấn đề cho đề tài còn gọi là:,Phần mở đầu cho đề cương nghiên cứu,Tính cấp thiết của đề tài,Lý do chọn đề tài,Thực trạng của vấn đề nghiên cứu,C
"Mục đích của tổng quan tài liệu là các nội dung sau đây,ngoại trừ:",Xây dựng nền tảng khoa học cho đề tài,Tránh trùng lập nghiên cứu,Là cơ sở xây dựng mục tiêu và phương pháp nghiên cứu,Cách điều tra hoặc thử nghiệm,D
Phần quan trọng nhất của đề cương nghiên cứu khoa học là:,Tên đề tài nghiên cứu,Kế hoạch thực hiện nghiên cứu,Đối tượng và phương pháp nghiên cứu,Mục tiêu nghiên cứu,C
Phần đối tượng và phương pháp nghiên cứu trong đề cương NCKH có....nội dung,5,4,6,7,D
"Để thực hiện phần kế hoạch thực hiện nghiên cứu, người ta thường dùng công cụ là",Biểu đồ Gantt,Excel,Chat GPT,Gemi AI chatbot,A
Có......bước xây dựng đề cương NCKH,4,6,8,10,C
"Trong bước xây dựng tên đề tài,cần đảm bảo các nội dung sau đây,ngoại trừ:","Rõ ràng,cụ thể",Không quá dài hoặc quá chung chung,Mang tính học thuật khoa học,Tránh dùng từ mơ hồ,C
"Trong phần xác định đối tượng nghiên cứu trong các nghiên cứu y học, có....loại đối tượng thường gặp",5,6,7,8,A
Đề cương nghiên cứu khoa học nằm ở giai đoạn nào sau đây trong trình tự hoạt động nghiên cứu khoa học,Bước 2,Bước 3,Bước 4,Giữa bước 2 và 3,D
Mẫu nghiên cứu là:,Đối tượng nghiên cứu,Một phần đại diện của quần thể được nhà nghiên cứu lựa chọn,Đối tượng khảo sát,Tất cả đều sai,B
Các phương pháp chọn mẫu thường được chia thành hai nhóm lớn:,Chọn mẫu tự nhiên và ngẫu nhiên,Chọn mẫu có hệ thống và không hệ thống,Chọn mẫu xác suất và không xác suất,Chọn mẫu thuận tiện và chủ đích,C
"Từ danh sách 20 người, ta muốn chọn ra 4 người.Giả sử người thứ nhất được chọn ngẫu nhiên có số thứ tự 3,người thứ hai là 8,Vậy 2 người còn lại sẽ có số thứ tự là: 13 và 18.Đây là cách chọn mẫu nào sau đây:",Ngẫu nhiên có hệ thống,Ngẫu nhiên,Ngẫu nhiên phân tầng,Ngẫu nhiên tập hợp con,A
"Phương pháp chọn mẫu không xác suất thường dùng trong các nghiên cứu sau đây, ngoại trừ",Định tính,Thăm dò,Khó xác định quần thể,Định lượng,D
"Trong nghiên cứu mô tả cắt ngang y học, thường dùng cách chọn mâuc nào sau đây, ngoại trừ",Ngẫu nhiên đơn,Ngẫu nhiên phân tầng,Ngẫu nhiên hệ thống,Ngẫu nhiên tập hợp con,D
Cỡ mẫu nghiên cứu là:,Phần đại diện của quần thể để tiến hành nghiên cứu,Số lượng đối tượng hoặc đơn vị nghiên cứu được lựa chọn để tham gia vào nghiên cứu khoa học,Số lượng đối tượng khảo sát,Tất cả đều sai,B
Có.....yếu tố ảnh hưởng đến việc chọn cỡ mẫu:,4,5,6,7,C
Có......phương pháp thu thập số liệu trong NCKH:,4,6,7,8,D
Phương pháp thu thập số liệu bằng cách đặt câu hỏi trực tiếp với đối tượng nghiên cứu là phương pháp thu thập số liệu nào sau đây:,Quan sát,Phỏng vấn,Điều tra bằng câu hỏi,Thực nghiệm,B
"Trong phương pháp thu thập số liệu bằng phỏng vấn,thường dùng phương pháp này trong nghiên cứu định tính nhằm khai thác thông tin chuyên sâu:",Phỏng vấn nhóm,Phỏng vấn sâu,Phỏng vấn qua điện thoại,Phỏng vấn trực tiếp,B
Phương pháp thu thập số liệu nào sau đây tạo ra điều kiện kiểm soát để nghiên cứu mối quan hệ nhân quả:,Thực nghiệm,Khai thác hồ sơ tài liệu,Đo lường và xét nghiệm,Phỏng vấn,A
"Phương pháp thu thập số liệu nào sau đây phổ biến trong nghiên cứu y tế,dược học:",Phỏng vấn,Khai thác hồ sơ tài liệu,Đo lường và xét nghiệm,Điều tra bằng bảng hỏi,D
Ý nào sau đây là sai khi đề cập đến biến số:,"Là những đặc tính,thuộc tính của đối tượng nghiên cứu có thể thay đổi giữa các cá thể hoặc thay đổi theo thời gian, địa điểm và điều kiện nghiên cứu",Là một nội dung rất quan trọng trong thiết kế nghiên cứu và thu thập dữ liệu,Là sự thay đổi mang tính học thuật khoa học,"Là những dữ liệu mà nhà nghiên cứu muốn khảo sát,phân tích hoặc tìm môia liên quan",C
"Sau đây là các vai trò của biến số trong nghiên cứu khoa học, ngoại trừ:",Xác định nội dung cần thu nhập,Gắn kết với mục tiêu nghiên cứu,Là cơ sở phân tích thống kê,Là phần có thể bỏ qua trong các nghiên cứu y học,D
"Sau đây là các cách phân loại biến số đã học,ngoại trừ:",Theo bản chất dữ liệu,Theo vai trò nghiên cứu,Theo tầm quan trọng của đề tài,Theo mức độ đo lường,C
Mức độ đau: nhẹ- vừa – nặng là loại biến nào sau đây:,Biến danh định,Biến thứ bậc,Biến nhiễu,Tất cả đều sai,B
Có.........nguyên tắc lựa chọn biến số,4,5,6,8,B
"Sau đây là các mục đích của thiết kế NCKH, ngoại trừ:","Đảm bảo nghiên cứu diễn ra có hệ thống,khoa học",Giúp tránh sai lệch và tăng độ tin cậy của kết quả,Tiết kiệm thời gian và nguồn lực,Cơ sở để phân tích đề tài,D
Các thiết kế nghiên cứu trong lịch vực Y dược được chia thành các nhóm chính là:,Nghiên cứu quan sát và thực nghiệm,Nghiên cứu mô tả và phân tích,Nghiên cứu điều tra và bảng hỏi,Nghiên cứu hồi cứu và tiến cứu,B
Mục đích của nghiên cứu phân tích là:,Tìm mối liên hệ giữa yếu tố nguy cơ và hậu quả,Mô tả đặc điểm về tần suất,Phân bố bệnh trong quần thể nghiên cứu,Các yếu tố nguy cơ có thể xảy ra,A
